Instituciones,articulos
UNIV. DE SAO PAULO,"264,594"
UNIV. NACIONAL AUTONOMA DE MEXICO,"103,013"
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,"98,334"
UNIV. ESTADUAL DE CAMPINAS,74504
UNIV. OF BUENOS AIRES,74317
UNIV. ESTADUAL PAULISTA,67826
UNIV. FEDERAL DO RIO DE JANEIRO,65333
UNIV. DE CHILE,53804
UNIV. FEDERAL DO RIO GRANDE DO SUL,51185
UNIV. FEDERAL DE MINAS GERAIS,48274
INSTITUTO POLITECNICO NACIONAL MEXICO,36813
PONTIFICIA UNIV. CATOLICA DE CHILE,36670
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,35545
NATIONAL UNIV. OF LA PLATA,31423
UNIV. FEDERAL DO PARANA,28716
UNIV. FEDERAL DE SANTA CATARINA UFSC,28348
FUNDACAO OSWALDO CRUZ,27761
CINVESTAV CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,27445
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA EMBRAPA,27173
UNIV. DO ESTADO DO RIO DE JANEIRO,24971
UNIV. FEDERAL DE PERNAMBUCO,24044
UNIV. DE BRASILIA,23548
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC,22760
UNIV. FEDERAL DE SAO CARLOS,21943
UNIV. NACIONAL DE COLOMBIA,19844
UNIV. FEDERAL FLUMINENSE,19613
NATIONAL UNIV. OF CORDOBA,18842
UNIV. FEDERAL DO CEARA,18671
UNIV. FEDERAL DE VICOSA,18459
UNIV. AUTONOMA METROPOLITANA MEXICO,18336
UNIV. DE CONCEPCION,18027
UNIV. FEDERAL DE SANTA MARIA UFSM,17605
UNIV. OF THE REPUBLIC URUGUAY,15566
UNIV. FEDERAL DA BAHIA,15022
COMISION NACIONAL DE ENERGIA ATOMICA CNEA,14744
UNIV. FEDERAL DO RIO GRANDE DO NORTE,13792
UNIV. FEDERAL DE GOIAS,12837
UNIV. FEDERAL DA PARAIBA,12453
UNIV. ESTADUAL DE MARINGA,12420
INSTITUTO MEXICANO DEL SEGURO SOCIAL,11828
UNIV. FEDERAL DE PELOTAS,11448
UNIV. FEDERAL DE MATO GROSSO DO SUL,11326
UNIV. DE ANTIOQUIA,11279
UNIV. FEDERAL DE UBERLANDIA,11267
UNIV. OF CENTRAL VENEZUELA,11187
UNIV. FEDERAL DO PARA,10522
UNIV. FEDERAL DE LAVRAS,10464
UNIV. DE GUADALAJARA,10390
BENEMERITA UNIV. AUTONOMA DE PUEBLA,10223
UNIV. AUTONOMA DE NUEVO LEON,10133
UNIV. ESTADUAL DE LONDRINA,9957
NATIONAL UNIV. OF ROSARIO,9950
UNIV. FEDERAL DO ESPIRITO SANTO,9806
UNIV. OF THE ANDES COLOMBIA,9589
UNIV. AUSTRAL DE CHILE,9561
UNIV. COSTA RICA,9119
TECNOLOGICO DE MONTERREY,8976
UNIV. DE SANTIAGO DE CHILE,8567
PONTIFICIA UNIV. CATOLICA DO RIO GRANDE DO SUL,8524
CENTRO BRASILEIRO DE PESQUISAS FISICAS,8469
UNIV. FEDERAL DE JUIZ DE FORA,8365
NATIONAL UNIV. OF MAR DEL PLATA,8316
INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS INPE,8260
UNIV. AUTONOMA DE SAN LUIS POTOSI,8065
VENEZUELAN INSTITUTE SCIENCE RESEARCH,7865
CEA,7764
UNIV. NACIONAL CUYO MENDOZA,7762
INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN MEXICO,7443
UNIV. OF LOS ANDES VENEZUELA,7439
INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA INTA,7422
UNIV. DE GUANAJUATO,7205
UNIV. FEDERAL RURAL DE PERNAMBUCO UFRPE,6972
SIMON BOLIVAR UNIV.,6922
CENTRO ATOMICO BARILOCHE,6787
UNIV. TECNOLOGICA FEDERAL DO PARANA,6765
PONTIFICIA UNIV. CATOLICA DE VALPARAISO,6737
UNIV. DEL VALLE,6643
UNIV. TECNICA FEDERICO SANTA MARIA,6636
INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,6538
UNIV. AUTONOMA DEL ESTADO DE MORELOS,6398
PONTIFICIA UNIV. CATOLICA DO RIO DE JANEIRO,6268
INSTITUTO FEDERAL DO RIO GRANDE DO SUL IFRS,6143
UNIV. FEDERAL RURAL DO RIO DE JANEIRO UFRRJ,6113
PONTIFICIA UNIV. CATOLICA DO PARANA,6093
UNIV. DE LA HABANA,6089